cliente_id,dias_regra1,ops_regra2,volume_total_brl,nivel_regra,nivel_agente,concorda,direcao,tipologia,red_flags
CLI-014,0,3,80629.99,médio,médio,True,igual,valor atípico,"Uma operação de R$ 23640.97, que é 10.24 vezes a mediana do cliente. | Outra operação de R$ 21064.59, que é 9.13 vezes a mediana do cliente. | Concentração de operações em canais como PIX e TED, que representam 49.28% e 32.35% do volume total, respectivamente."
CLI-023,0,2,148535.02,médio,alto,False,agente_mais_severo,valor atípico,"A operação OP-00219 de R$ 41.768,17 é 12,89 vezes a mediana do cliente. | A operação OP-00317 de R$ 65.417,17 é 20,18 vezes a mediana do cliente. | O volume de operações em espécie é significativo, representando 28,12% do total. | Concentração de operações via TED, que representa 51,76% do volume total."
CLI-028,0,2,88750.8,médio,médio,True,igual,valor atípico,"Operação OP-00308 de R$ 27.715,48 é 6.26 vezes a mediana do cliente. | Operação OP-00307 de R$ 24.875,39 é 5.61 vezes a mediana do cliente. | Concentração de operações via TED, representando 69.56% do volume total."
CLI-013,0,2,81730.99,médio,alto,False,agente_mais_severo,valor atípico,"A operação OP-00310 de R$ 28.487,76 é 9,05 vezes a mediana do cliente. | A operação OP-00309 de R$ 26.754,23 é 8,5 vezes a mediana do cliente. | Concentração de operações via TED, representando 67,97% do volume total."
CLI-005,0,2,64742.66,médio,médio,True,igual,valor atípico,"Duas operações com valores atípicos: R$ 11.988,17 (5.59x a mediana) e R$ 30.743,97 (14.34x a mediana). | Uso de espécie e cartão, com 23,19% e 48,12% do volume total, respectivamente."
CLI-026,0,2,54729.28,médio,médio,True,igual,valor atípico,"Uma operação de R$ 21.261,01, que é 10.46 vezes a mediana do cliente. | Outra operação de R$ 12.518,30, que é 6.16 vezes a mediana do cliente. | Concentração de operações em espécie, representando 21.41% do volume total."
CLI-001,0,2,47947.81,médio,alto,False,agente_mais_severo,valor atípico,"Uma operação de R$ 25110.15, que é 15.6 vezes a mediana do cliente. | A operação atípica foi realizada em espécie, o que dificulta o rastreio da origem dos fundos. | Concentração significativa em espécie, representando 52.37% do volume total."
CLI-029,1,0,191385.77,alto,alto,True,igual,fracionamento,"Regra 1 disparou devido a 4 operações em 2026-05-26, totalizando R$ 71.297,68, com nenhuma operação isolada acima de R$ 20.000. | A maior operação no dia foi de R$ 19.418,96, indicando fracionamento intencional. | Concentração de operações via TED, que representa 72,2% do volume total, dificultando o rastreio. | A contraparte 'Orion Trading SA' recebeu um saque significativo, levantando suspeitas sobre a legitimidade das transações."
CLI-017,1,0,121391.37,alto,alto,True,igual,fracionamento,"Regra 1 disparou devido a 4 operações em 2026-03-08 somando R$ 64.673,88, com nenhuma operação isolada atingindo R$ 20.000. | As operações incluem saques e pagamentos em canais como TED e PIX, com a contraparte 'Lumen Industria ME' recebendo valores significativos. | A maior operação foi de R$ 18.761,22, que está próxima do limite de R$ 20.000, sugerindo fracionamento intencional."
CLI-030,0,1,117780.89,baixo,médio,False,agente_mais_severo,valor atípico,"Uma operação de R$ 77.628,19 é 16,84 vezes a mediana do cliente. | O cliente possui um volume significativo de operações via TED, representando 72,63% do total. | A operação atípica não se alinha com o padrão de operações regulares do cliente."
