cliente_id,iteracao,tokens_entrada,tokens_saida,latencia_s,custo_usd
CLI-014,0,1401,20,2.164,0.000222
CLI-014,1,1786,20,1.132,0.00028
CLI-014,2,1960,193,2.923,0.00041
CLI-023,0,1401,20,0.958,0.000222
CLI-023,1,1752,20,1.109,0.000275
CLI-023,2,1928,201,4.06,0.00041
CLI-028,0,1401,20,1.053,0.000222
CLI-028,1,1753,20,1.019,0.000275
CLI-028,2,1927,194,2.612,0.000405
CLI-013,0,1401,20,2.292,0.000222
CLI-013,1,1754,20,1.003,0.000275
CLI-013,2,1960,187,2.46,0.000406
CLI-005,0,1401,20,1.095,0.000222
CLI-005,1,1750,20,1.023,0.000275
CLI-005,2,1956,182,2.571,0.000403
CLI-026,0,1401,20,1.517,0.000222
CLI-026,1,1752,20,0.977,0.000275
CLI-026,2,1958,186,3.883,0.000405
CLI-001,0,1401,20,1.532,0.000222
CLI-001,1,1742,20,1.119,0.000273
CLI-001,2,1946,183,4.077,0.000402
CLI-029,0,1401,20,0.932,0.000222
CLI-029,1,1696,30,0.898,0.000272
CLI-029,2,2008,20,1.2,0.000313
CLI-029,3,2214,224,3.599,0.000466
CLI-017,0,1401,20,1.678,0.000222
CLI-017,1,1695,30,2.489,0.000272
CLI-017,2,2006,20,1.317,0.000313
CLI-017,3,2212,214,5.431,0.00046
CLI-030,0,1401,20,1.082,0.000222
CLI-030,1,1726,20,1.215,0.000271
CLI-030,2,1932,174,2.65,0.000394
